id,index,char,width,height,xoffset,yoffset,xadvance,chnl,x,y,page
204,83,Ì,41,100,0,10,40,15,0,0,0
201,45,É,45,100,-2,10,40,15,0,101,0
192,21,À,53,100,-6,10,40,15,42,0,0
194,12,Â,53,100,-6,10,40,15,0,202,0
195,28,Ã,53,100,-6,10,40,15,46,101,0
200,58,È,45,100,-2,10,40,15,96,0,0
202,48,Ê,45,100,-2,10,40,15,0,303,0
205,76,Í,41,100,0,10,40,15,0,404,0
193,5,Á,53,100,-6,10,40,15,0,505,0
206,78,Î,43,100,-1,10,40,15,42,404,0
211,111,Ó,53,100,-6,10,40,15,46,303,0
210,124,Ò,53,100,-6,10,40,15,54,202,0
212,113,Ô,53,100,-6,10,40,15,100,101,0
213,138,Õ,53,100,-6,10,40,15,142,0,0
218,164,Ú,53,100,-6,10,40,15,0,606,0
217,170,Ù,53,100,-6,10,40,15,0,707,0
219,166,Û,53,100,-6,10,40,15,0,808,0
47,451,/,53,92,-6,26,40,15,0,909,0
125,455,},45,92,-2,26,40,15,54,505,0
93,457,],35,92,2,26,40,15,86,404,0
203,55,Ë,45,92,-2,18,40,15,100,303,0
123,454,{,45,92,-2,26,40,15,108,202,0
91,456,[,35,92,4,26,40,15,54,598,0
41,459,),36,92,1,26,40,15,54,691,0
207,80,Ï,45,92,-2,18,40,15,90,598,0
40,458,(,36,92,3,26,40,15,100,497,0
81,143,Q,53,92,-6,34,40,15,122,396,0
36,479,$,53,92,-6,26,40,15,146,295,0
106,290,j,41,92,-2,34,40,15,154,101,0
214,120,Ö,53,92,-6,18,40,15,154,194,0
124,528,|,29,92,6,26,40,15,196,0,0
92,436,\,53,92,-6,26,40,15,196,93,0
196,19,Ä,53,92,-6,18,40,15,226,0,0
220,168,Ü,53,92,-6,18,40,15,54,784,0
199,35,Ç,53,92,-6,34,40,15,91,691,0
233,244,é,53,84,-6,26,40,15,136,590,0
232,257,è,53,84,-6,26,40,15,137,489,0
234,247,ê,53,84,-6,26,40,15,176,388,0
237,276,í,45,84,-2,26,40,15,200,287,0
236,283,ì,45,84,-2,26,40,15,208,186,0
238,278,î,45,84,-2,26,40,15,250,93,0
243,313,ó,53,84,-6,26,40,15,280,0,0
242,326,ò,53,84,-6,26,40,15,54,877,0
244,315,ô,53,84,-6,26,40,15,108,784,0
245,340,õ,53,84,-6,26,40,15,145,675,0
250,365,ú,53,84,-6,26,40,15,190,574,0
249,371,ù,53,84,-6,26,40,15,191,473,0
251,367,û,53,84,-6,26,40,15,230,372,0
59,450,;,31,84,5,42,40,15,246,271,0
225,205,á,53,84,-6,26,40,15,254,178,0
224,221,à,53,84,-6,26,40,15,296,85,0
226,212,â,53,84,-6,26,40,15,334,0,0
227,228,ã,53,84,-6,26,40,15,278,263,0
64,520,@,53,84,-6,26,40,15,308,170,0
235,254,ë,53,76,-6,34,40,15,350,85,0
51,419,3,49,76,-4,34,40,15,388,0,0
52,420,4,53,76,-6,34,40,15,108,869,0
53,421,5,51,76,-4,34,40,15,108,946,0
54,422,6,50,76,-5,34,40,15,160,946,0
55,423,7,49,76,-4,34,40,15,162,760,0
56,424,8,47,76,-3,34,40,15,199,659,0
57,425,9,50,76,-5,34,40,15,244,558,0
78,102,N,53,76,-6,34,40,15,245,457,0
79,110,O,53,76,-6,34,40,15,284,348,0
80,141,P,53,76,-6,34,40,15,332,255,0
65,4,A,53,76,-6,34,40,15,362,162,0
228,219,ä,53,76,-6,34,40,15,404,77,0
82,144,R,53,76,-6,34,40,15,438,0,0
83,150,S,53,76,-6,34,40,15,162,837,0
84,158,T,53,76,-6,34,40,15,212,736,0
66,31,B,53,76,-6,34,40,15,247,635,0
85,163,U,53,76,-6,34,40,15,295,534,0
86,184,V,53,76,-6,34,40,15,299,425,0
87,185,W,53,76,-6,34,40,15,338,332,0
239,280,ï,45,76,-2,34,40,15,386,239,0
88,190,X,53,76,-6,34,40,15,416,154,0
89,191,Y,53,76,-6,34,40,15,458,77,0
90,200,Z,49,76,-4,34,40,15,492,0,0
63,446,?,51,76,-6,34,40,15,211,914,0
246,322,ö,53,76,-6,34,40,15,216,813,0
98,231,b,53,76,-6,34,40,15,266,712,0
67,32,C,53,76,-6,34,40,15,301,611,0
100,238,d,53,76,-6,34,40,15,349,502,0
252,369,ü,53,76,-6,34,40,15,353,409,0
231,235,ç,53,76,-6,50,40,15,392,316,0
62,503,>,44,76,-2,34,40,15,432,231,0
