id,index,char,width,height,xoffset,yoffset,xadvance,chnl,x,y,page
41,13,),53,123,-15,5,34,15,0,0,0
40,12,(,53,123,-5,5,33,15,0,124,0
91,63,[,53,116,-10,4,26,15,0,248,0
123,95,{,56,116,-7,7,33,15,0,365,0
93,65,],53,116,-16,4,26,15,54,0,0
125,97,},56,116,-16,7,33,15,54,117,0
106,78,j,55,114,-22,13,23,15,108,0,0
199,673,Ç,76,114,-4,13,63,15,54,234,0
36,8,$,68,113,-6,2,54,15,111,115,0
64,36,@,99,112,-7,15,87,15,164,0,0
210,683,Ò,77,111,-4,-5,67,15,0,482,0
219,690,Û,78,111,-5,-5,63,15,57,349,0
211,684,Ó,77,111,-4,-5,67,15,131,229,0
202,676,Ê,76,111,-7,-6,55,15,180,113,0
205,679,Í,55,111,-6,-6,26,15,0,594,0
212,685,Ô,77,111,-4,-5,67,15,0,706,0
218,689,Ú,78,111,-5,-5,63,15,56,594,0
206,680,Î,52,111,-6,-6,26,15,78,461,0
204,678,Ì,43,111,-6,-6,26,15,131,461,0
217,688,Ù,78,111,-5,-5,63,15,136,341,0
201,675,É,76,111,-7,-6,55,15,209,225,0
200,674,È,76,111,-7,-6,55,15,257,113,0
193,667,Á,81,110,-14,-5,63,15,264,0,0
192,666,À,81,110,-14,-5,63,15,0,818,0
213,686,Õ,77,110,-4,-4,67,15,78,706,0
194,668,Â,81,110,-14,-5,63,15,135,573,0
195,669,Ã,83,109,-14,-4,63,15,175,453,0
203,677,Ë,76,108,-7,-3,55,15,215,337,0
220,691,Ü,78,108,-5,-2,63,15,286,225,0
214,687,Ö,77,108,-4,-3,67,15,334,111,0
207,681,Ï,54,108,-6,-3,26,15,346,0,0
196,670,Ä,81,107,-14,-2,63,15,401,0,0
124,96,|,40,104,-8,14,24,15,82,817,0
81,53,Q,77,104,-4,13,67,15,123,817,0
87,59,W,101,91,0,14,86,15,82,922,0
77,49,M,101,91,-7,14,85,15,184,922,0
109,81,m,98,74,-9,31,85,15,156,684,0
47,19,/,70,97,-15,14,40,15,217,563,0
92,64,\,43,97,-1,14,40,15,259,446,0
102,74,f,56,96,-4,9,34,15,292,334,0
226,695,â,65,96,-7,10,53,15,201,759,0
100,72,d,72,96,-6,10,55,15,255,661,0
98,70,b,68,96,-8,10,54,15,288,544,0
225,694,á,68,96,-7,10,53,15,303,431,0
224,693,à,64,96,-7,10,53,15,349,334,0
231,700,ç,65,96,-6,31,51,15,365,220,0
251,717,û,66,96,-5,10,53,15,412,108,0
249,715,ù,66,96,-5,10,53,15,267,758,0
233,702,é,66,96,-6,10,51,15,328,641,0
232,701,è,64,96,-6,10,51,15,357,528,0
234,703,ê,64,96,-6,10,51,15,372,431,0
250,716,ú,66,96,-5,10,53,15,414,317,0
244,712,ô,67,96,-6,10,55,15,431,205,0
242,710,ò,67,96,-6,10,55,15,479,108,0
243,711,ó,67,96,-6,10,55,15,483,0,0
104,76,h,66,95,-8,10,53,15,0,929,0
245,713,õ,67,95,-6,11,55,15,286,855,0
237,706,í,53,95,-8,10,24,15,334,738,0
227,696,ã,69,95,-7,11,53,15,354,834,0
