id,index,char,width,height,xoffset,yoffset,xadvance,chnl,x,y,page
36,687,$,66,121,-3,25,60,15,0,0,0
212,98,Ô,62,116,-1,17,60,15,0,122,0
219,144,Û,62,116,-1,17,60,15,0,239,0
217,147,Ù,62,116,-1,17,60,15,0,356,0
218,142,Ú,62,116,-1,17,60,15,0,473,0
214,104,Ö,62,116,-1,18,60,15,0,590,0
213,119,Õ,62,116,-1,18,60,15,0,707,0
220,145,Ü,62,116,-1,18,60,15,0,824,0
210,106,Ò,62,116,-1,17,60,15,63,122,0
211,96,Ó,62,116,-1,17,60,15,67,0,0
106,259,j,57,116,-1,34,60,15,63,239,0
40,589,(,50,116,9,28,60,15,63,356,0
41,590,),50,116,2,28,60,15,63,473,0
207,70,Ï,59,115,1,18,60,15,63,590,0
193,2,Á,70,115,-5,17,60,15,114,356,0
196,16,Ä,70,115,-5,18,60,15,121,239,0
201,38,É,62,115,0,17,60,15,114,472,0
200,50,È,62,115,0,17,60,15,126,117,0
202,41,Ê,62,115,0,17,60,15,130,0,0
206,69,Î,59,115,1,17,60,15,189,116,0
203,47,Ë,62,115,0,18,60,15,193,0,0
195,23,Ã,70,115,-5,18,60,15,63,706,0
192,18,À,70,115,-5,17,60,15,123,588,0
194,10,Â,70,115,-5,17,60,15,177,472,0
204,73,Ì,59,115,1,17,60,15,185,355,0
205,67,Í,59,115,1,17,60,15,192,232,0
91,593,[,45,114,11,29,60,15,249,116,0
123,591,{,63,114,-1,29,60,15,256,0,0
199,30,Ç,63,114,-1,38,60,15,245,348,0
93,594,],45,114,5,29,60,15,252,231,0
125,592,},63,114,-1,29,60,15,295,115,0
92,586,\,65,114,-2,29,60,15,320,0,0
124,971,|,29,114,16,29,60,15,298,230,0
47,585,/,65,114,-2,29,60,15,63,822,0
81,123,Q,65,112,-2,38,60,15,129,822,0
64,961,@,72,112,-5,38,60,15,134,704,0
224,197,à,65,100,-3,34,60,15,194,588,0
226,189,â,65,100,-3,34,60,15,248,463,0
232,229,è,63,100,-1,34,60,15,309,345,0
225,181,á,65,100,-3,34,60,15,328,230,0
233,217,é,63,100,-1,34,60,15,359,115,0
251,328,û,62,100,-1,34,60,15,386,0,0
234,220,ê,63,100,-1,34,60,15,195,817,0
249,331,ù,62,100,-1,34,60,15,195,918,0
250,326,ú,62,100,-1,34,60,15,258,918,0
238,250,î,67,99,-1,34,60,15,207,689,0
235,226,ë,63,99,-1,34,60,15,260,564,0
243,280,ó,63,99,-1,34,60,15,314,446,0
242,290,ò,63,99,-1,34,60,15,373,331,0
244,282,ô,63,99,-1,34,60,15,394,216,0
245,303,õ,63,99,-1,34,60,15,423,101,0
246,288,ö,63,99,-1,34,60,15,449,0,0
236,254,ì,67,99,-1,34,60,15,259,789,0
237,248,í,67,99,-1,34,60,15,275,664,0
227,202,ã,65,99,-3,34,60,15,324,546,0
252,329,ü,62,99,-1,34,60,15,378,431,0
228,195,ä,65,99,-3,34,60,15,437,316,0
239,251,ï,67,98,-1,34,60,15,458,201,0
105,246,i,67,98,-1,34,60,15,487,100,0
231,209,ç,63,96,-1,56,60,15,513,0,0
56,544,8,64,95,-2,38,60,15,321,889,0
48,536,0,64,95,-2,38,60,15,327,764,0
38,962,&,71,95,-4,38,60,15,343,646,0
67,27,C,63,95,-1,38,60,15,390,531,0
83,128,S,66,95,-3,38,60,15,441,416,0
79,95,O,62,95,-1,38,60,15,503,300,0
71,56,G,63,95,-1,38,60,15,526,199,0
54,542,6,66,94,-3,39,60,15,555,97,0
113,307,q,62,94,-1,56,60,15,577,0,0
53,541,5,63,94,-1,39,60,15,386,860,0
57,545,9,66,94,-3,38,60,15,392,742,0
